<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS-12.18;1;25.09.2018;10:42:00;114640.0000000;114690.0000000;114610.0000000;114660.0000000;458
SPFB.RTS-12.18;1;25.09.2018;10:43:00;114660.0000000;114670.0000000;114610.0000000;114630.0000000;343
SPFB.RTS-12.18;1;25.09.2018;10:44:00;114650.0000000;114730.0000000;114640.0000000;114650.0000000;725
SPFB.RTS-12.18;1;25.09.2018;10:45:00;114670.0000000;114740.0000000;114650.0000000;114680.0000000;394
SPFB.RTS-12.18;1;25.09.2018;10:46:00;114680.0000000;114700.0000000;114540.0000000;114570.0000000;986
SPFB.RTS-12.18;1;25.09.2018;10:47:00;114560.0000000;114620.0000000;114450.0000000;114600.0000000;2114
SPFB.RTS-12.18;1;25.09.2018;10:48:00;114600.0000000;114650.0000000;114560.0000000;114580.0000000;669
SPFB.RTS-12.18;1;25.09.2018;10:49:00;114560.0000000;114590.0000000;114460.0000000;114590.0000000;1407
SPFB.RTS-12.18;1;25.09.2018;10:50:00;114590.0000000;114590.0000000;114500.0000000;114510.0000000;1049
SPFB.RTS-12.18;1;25.09.2018;10:51:00;114510.0000000;114630.0000000;114500.0000000;114570.0000000;1605
SPFB.RTS-12.18;1;25.09.2018;10:52:00;114580.0000000;114600.0000000;114490.0000000;114580.0000000;811
SPFB.RTS-12.18;1;25.09.2018;10:53:00;114600.0000000;114630.0000000;114560.0000000;114630.0000000;531
SPFB.RTS-12.18;1;25.09.2018;10:54:00;114620.0000000;114670.0000000;114590.0000000;114640.0000000;476
SPFB.RTS-12.18;1;25.09.2018;10:55:00;114630.0000000;114660.0000000;114630.0000000;114650.0000000;278
SPFB.RTS-12.18;1;25.09.2018;10:56:00;114650.0000000;114680.0000000;114590.0000000;114670.0000000;874
SPFB.RTS-12.18;1;25.09.2018;10:57:00;114680.0000000;114700.0000000;114610.0000000;114640.0000000;573
SPFB.RTS-12.18;1;25.09.2018;10:58:00;114640.0000000;114690.0000000;114620.0000000;114660.0000000;453
SPFB.RTS-12.18;1;25.09.2018;10:59:00;114650.0000000;114700.0000000;114610.0000000;114700.0000000;402
SPFB.RTS-12.18;1;25.09.2018;11:00:00;114700.0000000;114700.0000000;114650.0000000;114680.0000000;482
SPFB.RTS-12.18;1;25.09.2018;11:01:00;114670.0000000;114700.0000000;114620.0000000;114670.0000000;863
SPFB.RTS-12.18;1;25.09.2018;11:02:00;114660.0000000;114730.0000000;114650.0000000;114710.0000000;932
SPFB.RTS-12.18;1;25.09.2018;11:03:00;114700.0000000;114720.0000000;114670.0000000;114680.0000000;451
SPFB.RTS-12.18;1;25.09.2018;11:04:00;114680.0000000;114680.0000000;114620.0000000;114660.0000000;469
SPFB.RTS-12.18;1;25.09.2018;11:05:00;114670.0000000;114680.0000000;114630.0000000;114660.0000000;301
SPFB.RTS-12.18;1;25.09.2018;11:06:00;114640.0000000;114700.0000000;114630.0000000;114670.0000000;190
