25.09 Open,25.09 Close,25.09 Low,25.09 High,25.10 Open,25.10 Close,25.10 Low,25.10 High,23.11 Open,23.11 Close,23.11 Low,23.11 High,04.12 Open,04.12 Close,04.12 Low,04.12 High
115350.0000000,115740.0000000,115320.0000000,115540.0000000,111650.0000000,111650.0000000,110500.0000000,110630.0000000,113450.0000000,113450.0000000,112880.0000000,112890.0000000,115150.0000000,115470.0000000,114920.0000000,115170.0000000
115350.0000001,115740.0000001,115320.0000001,115540.0000001,110630.0000000,110700.0000000,110540.0000000,110640.0000000,112880.0000000,112890.0000000,112670.0000000,112700.0000000,115180.0000000,115220.0000000,115020.0000000,115150.0000000
115350.0000002,115740.0000002,115320.0000002,115540.0000002,110650.0000000,110870.0000000,110630.0000000,110840.0000000,112690.0000000,112790.0000000,112660.0000000,112730.0000000,115150.0000000,115190.0000000,115100.0000000,115160.0000000
115350.0000003,115740.0000003,115320.0000003,115540.0000003,110850.0000000,110850.0000000,110670.0000000,110670.0000000,112720.0000000,112790.0000000,112720.0000000,112740.0000000,115160.0000000,115200.0000000,115050.0000000,115050.0000000
115350.0000004,115740.0000004,115320.0000004,115540.0000004,110680.0000000,110820.0000000,110650.0000000,110660.0000000,112730.0000000,112760.0000000,112710.0000000,112740.0000000,115050.0000000,115110.0000000,114910.0000000,115110.0000000
115350.0000005,115740.0000005,115320.0000005,115540.0000005,110660.0000000,110790.0000000,110640.0000000,110780.0000000,112720.0000000,112830.0000000,112720.0000000,112820.0000000,115080.0000000,115130.0000000,115000.0000000,115080.0000000
115350.0000006,115740.0000006,115320.0000006,115540.0000006,110780.0000000,110830.0000000,110710.0000000,110740.0000000,112820.0000000,112820.0000000,112750.0000000,112760.0000000,115070.0000000,115140.0000000,115050.0000000,115120.0000000
115350.0000007,115740.0000007,115320.0000007,115540.0000007,110740.0000000,110840.0000000,110710.0000000,110800.0000000,112760.0000000,112810.0000000,112740.0000000,112780.0000000,115110.0000000,115140.0000000,115030.0000000,115060.0000000
115350.0000008,115740.0000008,115320.0000008,115540.0000008,110810.0000000,110850.0000000,110500.0000000,110600.0000000,112790.0000000,112820.0000000,112780.0000000,112810.0000000,115070.0000000,115080.0000000,114970.0000000,115010.0000000
115350.0000009,115740.0000009,115320.0000009,115540.0000009,110590.0000000,110630.0000000,110540.0000000,110580.0000000,112820.0000000,112830.0000000,112800.0000000,112810.0000000,115000.0000000,115020.0000000,114940.0000000,115010.0000000
115350.000001,115740.000001,115320.000001,115540.000001,110580.0000000,110650.0000000,110540.0000000,110580.0000000,112810.0000000,112850.0000000,112780.0000000,112820.0000000,115000.0000000,115040.0000000,114970.0000000,114990.0000000
115350.0000011,115740.0000011,115320.0000011,115540.0000011,110590.0000000,110710.0000000,110570.0000000,110710.0000000,112810.0000000,112820.0000000,112770.0000000,112810.0000000,114980.0000000,115020.0000000,114960.0000000,114980.0000000
115350.0000012,115740.0000012,115320.0000012,115540.0000012,110710.0000000,110790.0000000,110680.0000000,110720.0000000,112800.0000000,112810.0000000,112750.0000000,112790.0000000,114990.0000000,115060.0000000,114990.0000000,114990.0000000
115350.0000013,115740.0000013,115320.0000013,115540.0000013,110720.0000000,110870.0000000,110700.0000000,110850.0000000,112780.0000000,112800.0000000,112770.0000000,112790.0000000,115000.0000000,115010.0000000,114920.0000000,114930.0000000
115350.0000014,115740.0000014,115320.0000014,115540.0000014,110840.0000000,110920.0000000,110820.0000000,110880.0000000,112790.0000000,112800.0000000,112770.0000000,112780.0000000,114930.0000000,114940.0000000,114820.0000000,114860.0000000
115350.0000015,115740.0000015,115320.0000015,115540.0000015,110890.0000000,110900.0000000,110820.0000000,110900.0000000,112790.0000000,112800.0000000,112750.0000000,112780.0000000,114860.0000000,114930.0000000,114810.0000000,114890.0000000
115350.0000016,115740.0000016,115320.0000016,115540.0000016,110910.0000000,110930.0000000,110820.0000000,110840.0000000,112770.0000000,112770.0000000,112690.0000000,112710.0000000,114890.0000000,114960.0000000,114870.0000000,114940.0000000
115350.0000017,115740.0000017,115320.0000017,115540.0000017,110850.0000000,110900.0000000,110800.0000000,110870.0000000,112700.0000000,112870.0000000,112690.0000000,112860.0000000,114930.0000000,114940.0000000,114870.0000000,114910.0000000
115350.0000018,115740.0000018,115320.0000018,115540.0000018,110870.0000000,110920.0000000,110810.0000000,110840.0000000,112850.0000000,112850.0000000,112710.0000000,112740.0000000,114890.0000000,114930.0000000,114870.0000000,114920.0000000
115350.0000019,115740.0000019,115320.0000019,115540.0000019,110840.0000000,110900.0000000,110830.0000000,110900.0000000,112730.0000000,112770.0000000,112700.0000000,112740.0000000,114920.0000000,115000.0000000,114900.0000000,114990.0000000
115350.000002,115740.000002,115320.000002,115540.000002,110900.0000000,110920.0000000,110810.0000000,110890.0000000,112750.0000000,112750.0000000,112570.0000000,112610.0000000,114990.0000000,115020.0000000,114900.0000000,114980.0000000
115350.0000021,115740.0000021,115320.0000021,115540.0000021,110890.0000000,110890.0000000,110800.0000000,110860.0000000,112600.0000000,112650.0000000,112540.0000000,112590.0000000,114990.0000000,115000.0000000,114920.0000000,114960.0000000
115350.0000022,115740.0000022,115320.0000022,115540.0000022,110870.0000000,110910.0000000,110800.0000000,110870.0000000,112590.0000000,112600.0000000,112570.0000000,112600.0000000,114950.0000000,115030.0000000,114910.0000000,115010.0000000
115350.0000023,115740.0000023,115320.0000023,115540.0000023,110870.0000000,110960.0000000,110750.0000000,110950.0000000,112600.0000000,112640.0000000,112590.0000000,112630.0000000,115010.0000000,115090.0000000,114980.0000000,115070.0000000
115350.0000024,115740.0000024,115320.0000024,115540.0000024,110960.0000000,111080.0000000,110930.0000000,111040.0000000,112640.0000000,112650.0000000,112610.0000000,112640.0000000,115060.0000000,115100.0000000,115020.0000000,115020.0000000
115350.0000025,115740.0000025,115320.0000025,115540.0000025,111030.0000000,111050.0000000,110890.0000000,110910.0000000,112640.0000000,112650.0000000,112580.0000000,112590.0000000,115020.0000000,115090.0000000,115000.0000000,115030.0000000
115350.0000026,115740.0000026,115320.0000026,115540.0000026,110900.0000000,111060.0000000,110900.0000000,111060.0000000,112590.0000000,112590.0000000,112480.0000000,112540.0000000,115020.0000000,115110.0000000,115020.0000000,115070.0000000
115350.0000027,115740.0000027,115320.0000027,115540.0000027,111060.0000000,111090.0000000,110990.0000000,111040.0000000,112540.0000000,112560.0000000,112510.0000000,112550.0000000,115070.0000000,115080.0000000,115000.0000000,115000.0000000
115350.0000028,115740.0000028,115320.0000028,115540.0000028,111040.0000000,111070.0000000,110980.0000000,111020.0000000,112550.0000000,112610.0000000,112530.0000000,112600.0000000,115000.0000000,115020.0000000,114960.0000000,114980.0000000
115350.0000029,115740.0000029,115320.0000029,115540.0000029,111040.0000000,111040.0000000,110980.0000000,111000.0000000,112600.0000000,112610.0000000,112500.0000000,112530.0000000,114980.0000000,115010.0000000,114960.0000000,114970.0000000
